producteur;adresse;CP;commune;pays;INSEE_COM;INSEE_DEP;INSEE_REG;prod_id;lon;lat
Cigalart;rue Bonnechère, 39;4367;Crisnée;Belgique;;;;67152;;
Hesby-Vins;rue Bonnechère, 39;4367;Crisnée;Belgique;;;;50117;;
Jean-christophe Pellerin;Perrozan;1150;Vaux-en-Bugey;France;01431;01;84.0;50416;5.353699276562038;45.92747139880575
Marcel Perinet;65, chem. du Péroud;1150;Saint-Martin-du-Mont;France;01374;01;84.0;19862;5.327717029873956;46.10155153017158
Thierry Tissot;42, quai du Buizin;1150;Vaux-en-Bugey;France;01431;01;84.0;35256;5.353699276562038;45.92747139880575
Earl domaine de la Belière;120, chem. de la Ravat;1250;Bohas-Meyriat-Rignat;France;01245;01;84.0;18146;5.391053879070062;46.13691394453899
Véronique Antoine;281, en Reculet;1250;Bohas-Meyriat-Rignat;France;01245;01;84.0;20544;5.391053879070062;46.13691394453899
Caveau Quinard;201, rte du Lit-au-Roi;1300;Massignieu-de-Rives;France;01239;01;84.0;46427;5.766809066420035;45.75428955475848
Caveau des Demoiselles;Le Bourg;1300;Virignin;France;01454;01;84.0;46430;5.710423201175937;45.720987881523776
Domaine d' Ici là;190, imp. du Richemond;1300;Groslée-Saint-Benoît;France;01338;01;84.0;22936;5.587549442640396;45.694960485186876
Earl caveau Dufour;257, Montée-du-Bourg;1300;Massignieu-de-Rives;France;01239;01;84.0;47871;5.766809066420035;45.75428955475848
Maison Angelot;121, rue du Lavoir;1300;Marignieu;France;01234;01;84.0;33834;5.719287100554948;45.79666927040421
Olivier Lelièvre;302, rte du Chenay;1300;Parves;France;01286;01;84.0;48659;5.742598436672162;45.74372177194761
Philippe Perdrix;283, chem. Creux-des-Vignes;1300;Saint-Benoît;France;01338;01;84.0;46428;5.587549442640396;45.694960485186876
René Laubez;;1300;Andert-et-Condon;France;01009;01;84.0;34611;5.655503190001887;45.794099562599214
Domaine de Bel-Air;rue Albert-Férier;1350;Culoz;France;01138;01;84.0;50958;5.781021600776739;45.84742192500661
Earl domaine Monin;255, chem. des Vignes;1350;Vongnes;France;01456;01;84.0;1100;5.725637600240925;45.81501414210936
Michelle Férier;domaine du Cellier de Bel-Air;1350;Culoz;France;01138;01;84.0;16505;5.781021600776739;45.84742192500661
Sarl le Caveau Bugiste;326, rue de la Vigne-du-Bois;1350;Vongnes;France;01456;01;84.0;33822;5.725637600240925;45.81501414210936
Sylvain Bois;11, rte de Bourgogne;1350;Béon;France;01039;01;84.0;46429;5.750498503421572;45.854618103932786
Earl domaine du Clos d'Arvières;131, chem. de la Cascade Eilloux;1420;Corbonod;France;01118;01;84.0;19871;5.810465054872346;45.96962242810108
Gaec aimé Bernard et Fils;Sylans 205, rue des Vignes;1420;Corbonod;France;01118;01;84.0;49919;5.810465054872346;45.96962242810108
Maison Gallice;236, rue des Peupliers;1420;Corbonod;France;01118;01;84.0;83682;5.810465054872346;45.96962242810108
Maison Mollex;161, pl. de l'Église;1420;Corbonod;France;01118;01;84.0;1102;5.810465054872346;45.96962242810108
Alain et élie Renardat-Fache;115, rue de la Balmette;1450;Mérignat;France;01242;01;84.0;5902;5.436876252268213;46.06931150504192
Cellier Lingot-Martin;ZA 383, rue Sous-la-Côte;1450;Poncin;France;01303;01;84.0;47869;5.407106817739768;46.08628163435703
Christian Bolliet;hameau de Bôches 438, rte de Cerdon;1450;Saint-Alban;France;01331;01;84.0;15732;5.453716777099887;46.09446078473435
Earl Girardi-Dupoyet;4, rue de la Gumarde;1450;Cerdon;France;01068;01;84.0;47170;5.464895040516683;46.08061627072516
Earl Wojtkowiak;205, chem. de Combe Pont-de-Préau;1450;Cerdon;France;01068;01;84.0;22937;5.464895040516683;46.08061627072516
Earl georges Vucher et Fils;quartier La Suisse Cour de Tache;1450;Cerdon;France;01068;01;84.0;18145;5.464895040516683;46.08061627072516
Gérald Dubreuil;111, chem. de la Bierle Leymiat;1450;Poncin;France;01303;01;84.0;67021;5.407106817739768;46.08628163435703
Nicolas Mazzuchelli;152, rue de la Gare;1450;Cerdon;France;01068;01;84.0;84487;5.464895040516683;46.08061627072516
Olivier Bardet;169, rue Principale;1450;Mérignat;France;01242;01;84.0;50415;5.436876252268213;46.06931150504192
Pierre Dubreuil;56, rue de Balme;1450;Cerdon;France;01068;01;84.0;19861;5.464895040516683;46.08061627072516
Thierry Troccon;61, rue de la Chapelle Leymiat;1450;Poncin;France;01303;01;84.0;35253;5.407106817739768;46.08628163435703
Benoît Dumont;rte d'Oncin;1470;Montagnieu;France;01255;01;84.0;49914;5.468691124802342;45.79320934929149
Cave jacqueline Laurencin;63, rue des Alinières;1470;Seillonnaz;France;01400;01;84.0;84486;5.490036699897976;45.80662920239209
Famille Peillot;rte de Seillonnaz;1470;Montagnieu;France;01255;01;84.0;35255;5.468691124802342;45.79320934929149
Maison Bonnard;78, rue de la Chapelle;1470;Seillonnaz;France;01400;01;84.0;33826;5.490036699897976;45.80662920239209
Earl fabrice Gros;46, chem. de la Source Chavillieu;1510;Pugieu;France;01098;01;84.0;49915;5.682851783366614;45.80440981055917
Daniel Boccard;Poncieux 66-88, rue de la Chapelle;1640;Boyeux-Saint-Jérôme;France;01056;01;84.0;47169;5.458994668880473;46.029872550458514
Domaine Rondeau;Cornelle 7, rue des Vignerons;1640;Boyeux-Saint-Jérôme;France;01056;01;84.0;33823;5.458994668880473;46.029872550458514
Franck Bonnod;157, rue de la Chapelle Poncieux;1640;Boyeux-Saint-Jérôme;France;01056;01;84.0;48656;5.458994668880473;46.029872550458514
Sandrine Bigot;Hameau de Cornelle 2, rue des Vignerons;1640;Boyeux-Saint-Jérôme;France;01056;01;84.0;18147;5.458994668880473;46.029872550458514
Xavier Barbe;Hameau de Vieillard;1640;Jujurieux;France;01199;01;84.0;50959;5.410196246636819;46.039046180159716
Yannick Blanchet;68, pl. du Plâtre Chaux;1640;Jujurieux;France;01199;01;84.0;84135;5.410196246636819;46.039046180159716
Caveau du Pont-Bancet;Pont-Bancet;1680;Groslée;France;01338;01;84.0;33845;5.587549442640396;45.694960485186876
Earl domaine Trichon;63, chem. du Lavoir;1680;Lhuis;France;01216;01;84.0;67022;5.534780722227998;45.74576935675131
Earl p. Charlin;Le Richenard;1680;Groslée;France;01338;01;84.0;33835;5.587549442640396;45.694960485186876
Maison yves Duport;Le Lavoir;1680;Groslée;France;01338;01;84.0;33825;5.587549442640396;45.694960485186876
Pierre Ducolomb;Vernans;1680;Lhuis;France;01216;01;84.0;35254;5.534780722227998;45.74576935675131
Albert Baron;1, rue des Chaillots Grand-Porteron;2310;Charly-sur-Marne;France;02163;02;32.0;34423;3.284294955836566;48.975341201403204
Baron-Fuenté;21, av. Fernand-Drouet;2310;Charly-sur-Marne;France;02163;02;32.0;12654;3.284294955836566;48.975341201403204
Bernard Bijotat;2, Route-Nationale;2310;Romeny-sur-Marne;France;02653;02;32.0;17616;3.333625219257441;48.97506306882749
Bernard Figuet;144, rte Nationale;2310;Saulchery;France;02701;02;32.0;16155;3.30790582837969;48.97455184343957
Bourgeois;43, Grande-Rue;2310;Crouttes-sur-Marne;France;02242;02;32.0;34130;3.239228198952122;48.980201842400675
Champagne Baron Albert;1, rue des Chaillots Le Grand-Porteron;2310;Charly-sur-Marne;France;02163;02;32.0;17609;3.284294955836566;48.975341201403204
Champagne Charpentier;11, rte de Paris;2310;Charly-sur-Marne;France;02163;02;32.0;16126;3.284294955836566;48.975341201403204
Champagne Gratiot et Cie;27, av. Fernand-Drouet;2310;Charly-sur-Marne;France;02163;02;32.0;49994;3.284294955836566;48.975341201403204
Champagne Monthuys Père et Fils;21, av. Fernand-Drouet;2310;Charly-sur-Marne;France;02163;02;32.0;23062;3.284294955836566;48.975341201403204
Champagne bernard Naudé;12, av. Fernand-Drouet BP61;2310;Charly-sur-Marne;France;02163;02;32.0;49295;3.284294955836566;48.975341201403204
Champagne jacques Sonnette;2, rue du Port-Picard Grand-Porteron;2310;Charly-sur-Marne;France;02163;02;32.0;50461;3.284294955836566;48.975341201403204
Champagne pierre Courtois;41, rue de l'Église;2310;Crouttes-sur-Marne;France;02242;02;32.0;17573;3.239228198952122;48.980201842400675
Earl Bourgeois-Diaz;43, Grande-Rue;2310;Crouttes-sur-Marne;France;02242;02;32.0;50577;3.239228198952122;48.980201842400675
Earl Val des Haïs;68, av. Fernand-Drouet;2310;Charly-sur-Marne;France;02163;02;32.0;51041;3.284294955836566;48.975341201403204
Earl alain Bédel;1, rue des Glauriettes, Grand Porteron;2310;Charly-sur-Marne;France;02163;02;32.0;34175;3.284294955836566;48.975341201403204
Fallet-Dart;2, rue des Clos-du-Mont Drachy;2310;Charly-sur-Marne;France;02163;02;32.0;13438;3.284294955836566;48.975341201403204
François Dérot;21, Grande-Rue;2310;Crouttes-sur-Marne;France;02242;02;32.0;47991;3.239228198952122;48.980201842400675
Françoise Bedel;71, Grande-Rue;2310;Crouttes-sur-Marne;France;02242;02;32.0;35559;3.239228198952122;48.980201842400675
Jean de La Fontaine;1, rue des Chaillots Grand Porteron;2310;Charly-sur-Marne;France;02163;02;32.0;46940;3.284294955836566;48.975341201403204
Jean-yves Leredde;33, Grande rue;2310;Crouttes-sur-Marne;France;02242;02;32.0;50025;3.239228198952122;48.980201842400675
Jean-yves Leredde;49, rue de Bézu;2310;Crouttes-sur-Marne;France;02242;02;32.0;48877;3.239228198952122;48.980201842400675
Léguillette-Romelot;Le Mont-Dorin 15, rte de Villiers;2310;Charly-sur-Marne;France;02163;02;32.0;47696;3.284294955836566;48.975341201403204
Lété-Vautrain;21, av. Fernand-Drouet;2310;Charly-sur-Marne;France;02163;02;32.0;15266;3.284294955836566;48.975341201403204
Marc Bijotat;70 bis, rte Nationale;2310;Romeny-sur-Marne;France;02653;02;32.0;17617;3.333625219257441;48.97506306882749
Romelot-Poupart;4, rue Leduc-de-la-Tournelle;2310;Charly-sur-Marne;France;02163;02;32.0;84429;3.284294955836566;48.975341201403204
Sarl joël Closson et Fils;155, rte Nationale;2310;Saulchery;France;02701;02;32.0;25146;3.30790582837969;48.97455184343957
Sas michel Fallet;4, rue des Clos-du-Mont Drachy;2310;Charly-sur-Marne;France;02163;02;32.0;84439;3.284294955836566;48.975341201403204
Scev Gratiot-Pillière;8-10, av. Fernand-Drouet;2310;Charly-sur-Marne;France;02163;02;32.0;83647;3.284294955836566;48.975341201403204
Bruno Roulot;1, rue Saint-Martin;2330;La Chapelle-Monthodon;France;02053;02;32.0;50448;3.613700126630503;48.98760492085828
Champagne Sourdet-Diot;1, hameau de Chézy;2330;La Chapelle-Monthodon;France;02053;02;32.0;49309;3.613700126630503;48.98760492085828
Champagne Boucant-Thiéry;10, rte de Crogis Mont-de-Bonneil;2400;Bonneil;France;02098;02;32.0;47958;3.348558766414487;49.00832582676031
Champagne Paillette;4, Aulnois;2400;Essômes-sur-Marne;France;02290;02;32.0;49297;3.374208149940892;49.029559542324016
Champagne Pannier;23, rue Roger-Catillon;2400;Château-Thierry;France;02168;02;32.0;3158;3.402482461994722;49.0461065507012
Champagne olivier et laëtitia Marteaux;6, rte de Bonneil;2400;Azy-sur-Marne;France;02042;02;32.0;67080;3.366474237993523;49.00112556312618
Champagne philippe Dechelle;20, rue Paul-Doumer;2400;Brasles;France;02114;02;32.0;51044;3.426975128180411;49.047864396759486
Earl guillaume Marteaux;71, Grande-Rue;2400;Bonneil;France;02098;02;32.0;17407;3.348558766414487;49.00832582676031
Henri Dechelle;1 bis, rue Aristide-Briand;2400;Brasles;France;02114;02;32.0;67120;3.426975128180411;49.047864396759486
Jean Comyn;7 bis, rue Fontaine-Sainte-Foy;2400;Mont-Saint-Père;France;02524;02;32.0;83632;3.491529820932973;49.07480479881397
Joël Marouteaux;63, Grande-Rue;2400;Bonneil;France;02098;02;32.0;35742;3.348558766414487;49.00832582676031
Joël Michel;1, pl. Brigot;2400;Brasles;France;02114;02;32.0;50037;3.426975128180411;49.047864396759486
Michel Hoerter;10 bis, hameau de Rouvroy;2400;Essômes-sur-Marne;France;02290;02;32.0;18134;3.374208149940892;49.029559542324016
Scev champagne Belin;30_A, rue Jean-Moulin hameau l'Aulnois;2400;Essômes-sur-Marne;France;02290;02;32.0;47597;3.374208149940892;49.029559542324016
Vincent Métivier;4, rue de Rome;2400;Gland;France;02347;02;32.0;21632;3.462144520847965;49.04755080994856
Champagne de Rekeneire-Petit;41, rue Robert-Gerbaux;2570;Chézy-sur-Marne;France;02186;02;32.0;17454;3.365885935283596;48.98900503160819
A. Robert;Le Sablon;2650;Fossoy;France;02328;02;32.0;50995;3.482050055720937;49.04897150832239
Bonnet-Launois;Le Sablon;2650;Fossoy;France;02328;02;32.0;83617;3.482050055720937;49.04897150832239
Champagne Déhu Père et Fils;3, rue Saint-Georges;2650;Fossoy;France;02328;02;32.0;16138;3.482050055720937;49.04897150832239
Lycée agricole et viticole de Crézancy;rue de Paris;2650;Crézancy;France;02239;02;32.0;12669;3.510207319194379;49.04790658464586
Champagne Biard-Loyaux;1, rue du Château;2850;Passy-sur-Marne;France;02595;02;32.0;67137;3.570637540811239;49.061352585949756
Champagne Couvent Fils;4, rue Corneille;2850;Trélou-sur-Marne;France;02748;02;32.0;14316;3.610067919433015;49.075904341367014
Champagne Eve des Rêves;2, rue de la Brisserie;2850;Reuilly-Sauvigny;France;02645;02;32.0;23275;3.574479792690037;49.05381986213092
Champagne Leclerc-Mondet;5, rue Beethoven Chassins;2850;Trélou-sur-Marne;France;02748;02;32.0;34349;3.610067919433015;49.075904341367014
Champagne Lequeux-Mercier;13, rue de Champagne;2850;Passy-sur-Marne;France;02595;02;32.0;84173;3.570637540811239;49.061352585949756
Champagne Serveaux Fils;2, rue de Champagne;2850;Passy-sur-Marne;France;02595;02;32.0;25245;3.570637540811239;49.061352585949756
Champagne Veuve Olivier et Fils;10, rte de Dormans;2850;Trélou-sur-Marne;France;02748;02;32.0;84145;3.610067919433015;49.075904341367014
Champagne alain Mercier et Fils;14, rte du Champagne;2850;Passy-sur-Marne;France;02595;02;32.0;84503;3.570637540811239;49.061352585949756
Champagne alain Navarre;14, rue de la Marne;2850;Passy-sur-Marne;France;02595;02;32.0;50051;3.570637540811239;49.061352585949756
Champagne michel Faÿ;21, rue Pasteur;2850;Barzy-sur-Marne;France;02051;02;32.0;22756;3.559155780637415;49.08061808673355
Christian Briard;21, rue du Plessier;2850;Jaulgonne;France;02389;02;32.0;84078;3.535218973165413;49.089321117421186
Daniel Vrayet;60, rte de Champagne;2850;Passy-sur-Marne;France;02595;02;32.0;20456;3.570637540811239;49.061352585949756
Earl Fleury et Fils;23, rue Pascal Courcelles;2850;Trélou-sur-Marne;France;02748;02;32.0;49252;3.610067919433015;49.075904341367014
Earl Olivier Père et Fils;2, rue Kennedy;2850;Trélou-sur-Marne;France;02748;02;32.0;48896;3.610067919433015;49.075904341367014
Fleury-Gille;23, rue Pascal Courcelles;2850;Trélou-sur-Marne;France;02748;02;32.0;84446;3.610067919433015;49.075904341367014
James Vrayet;58, rte du Champagne;2850;Passy-sur-Marne;France;02595;02;32.0;48247;3.570637540811239;49.061352585949756
Météyer Père et Fils;39, rue de l'Europe;2850;Trélou-sur-Marne;France;02748;02;32.0;50034;3.610067919433015;49.075904341367014
Philippe Servenay;22, rue Kennedy;2850;Trélou-sur-Marne;France;02748;02;32.0;84438;3.610067919433015;49.075904341367014
Scev Faÿ-Berjot;2-4, pl. Dom Pérignon Hameau de Rosay;2850;Barzy-sur-Marne;France;02051;02;32.0;23277;3.559155780637415;49.08061808673355
Tristan Hyest;5, cour de la Chapelle Chassins;2850;Trélou-sur-Marne;France;02748;02;32.0;18128;3.610067919433015;49.075904341367014
Domaine Gardien;7, Chassignolles;3210;Besson;France;03026;03;84.0;34883;3.263170070155874;46.471118448751504
Jean-françois Colas;La Croix d'Or;3210;Chemilly;France;03073;03;84.0;25190;3.315594742683606;46.488776093070136
Cave Bonvin;11, rue Sainte-Catherine;3500;Louchy-Montfand;France;03149;03;84.0;51026;3.2448787758431;46.30796348898401
Cave Courtinat;11, rue de Venteuil;3500;Saulcet;France;03267;03;84.0;34881;3.262724916766535;46.32563344324231
Domaine Grosbot-Barbara;Montjournal RD 46;3500;Cesset;France;03049;03;84.0;25185;3.207015844913955;46.303797322275734
Domaine Haut de Briailles;;3500;Saint-Pourçain-sur-Sioule;France;03254;03;84.0;46547;3.288991758043854;46.30724601653548
Domaine Jallet;30, pl. des Cailles;3500;Saulcet;France;03267;03;84.0;47263;3.262724916766535;46.32563344324231
Domaine Nebout;rte de Montmarault;3500;Saint-Pourçain-sur-Sioule;France;03254;03;84.0;46549;3.288991758043854;46.30724601653548
Domaine Ray;8, rue Louis Neillot;3500;Saulcet;France;03267;03;84.0;5211;3.262724916766535;46.32563344324231
Domaine de Bellevue;;3500;Meillard;France;03169;03;84.0;5219;3.234395246855988;46.38923978693168
Domaine des Bourrats;rue des Acacias;3500;Saint-Pourçain-sur-Sioule;France;03254;03;84.0;50631;3.288991758043854;46.30724601653548
Domaine des Bérioles;Place de l'Eglise;3500;Cesset;France;03049;03;84.0;84408;3.207015844913955;46.303797322275734
Famille Laurent;5, rue de Montifaud;3500;Saulcet;France;03267;03;84.0;12724;3.262724916766535;46.32563344324231
Jean Meunier;domaine Haut de Briailles;3500;Saint-Pourcain-sur-Sioule;France;03254;03;84.0;35429;3.288991758043854;46.30724601653548
Philippe Chérillat;Chinière;3500;Saulcet;France;03267;03;84.0;25192;3.262724916766535;46.32563344324231
Purseigle et Bonvin;EARL  La Sourde 9, rue Sainte-Catherine;3500;Louchy-Montfand;France;03149;03;84.0;48605;3.2448787758431;46.30796348898401
Union des Vignerons de Saint-Pourçain;3, rue de la Ronde;3500;Saint-Pourçain-sur-Sioule;France;03254;03;84.0;5213;3.288991758043854;46.30724601653548
Yannick Touzain;9, rte de Moulins;3500;Contigny;France;03083;03;84.0;47266;3.304211491508259;46.35309298288415
Earl château Saint-Jean;chem. du Cros-Saint-Jean;4100;Manosque;France;04112;04;93.0;47572;5.782333007691466;43.83373883028615
Pierre Bousquet;Cave la Madeleine;4130;Volx;France;04245;04;93.0;35764;5.842749695630221;43.87682880271611
Château de Rousset;Rousset;4800;Gréoux-les-Bains;France;04094;04;93.0;35765;5.883467560185165;43.75795616920764
Thomas Émery;1267, RD 4;4800;Gréoux-les-Bains;France;04094;04;93.0;6318;5.883467560185165;43.75795616920764
Cave Petra Viridis;1, av. Auguste-Bastide;4860;Pierrevert;France;04152;04;93.0;6319;5.749492889236406;43.81087675898258
Sas Régusse;rte de la Bastide-des-Jourdans rte de la Bastide-des-Jourdans;4860;Pierrevert;France;04152;04;93.0;1421;5.749492889236406;43.81087675898258
Sci Châteauneuf;Dom. Châteauneuf;4860;Pierrevert;France;04152;04;93.0;1423;5.749492889236406;43.81087675898258
La cave des Hautes Vignes;Le Village;5130;Valserres;France;05176;05;93.0;35115;6.125688961760162;44.48711299667357
Olivier Ricard;rte de Tresbaudon;5130;Tallard;France;05170;05;93.0;21358;6.056973149712273;44.463656489782075
Sarl Tresbaudon;2030, rte de Tresbaudon;5130;Tallard;France;05170;05;93.0;21358;6.056973149712273;44.463656489782075
Domaine du Petit Août;La Plaine-de-Théüs;5190;Théüs;France;05171;05;93.0;67425;6.189687385031236;44.475485764438616
Earl laëtitia Allemand;1495, rte de l'Eau-Vive lieu-dit La Plaine;5190;Théüs;France;05171;05;93.0;25410;6.189687385031236;44.475485764438616
Avineo;140, av. des Arènes-de-Cimiez;6000;Nice;France;06088;06;93.0;18713;7.271454888463083;43.695978064591124
Domaine Saint-Jean;34, chem. de la Pouncia;6200;Nice;France;06088;06;93.0;51285;7.271454888463083;43.695978064591124
Domaine de la Source;303, chem. de Saquier;6200;Nice;France;06088;06;93.0;48131;7.271454888463083;43.695978064591124
Gaec Massa;425, chemin de Crémat;6200;Nice;France;06088;06;93.0;35581;7.271454888463083;43.695978064591124
Ghislain de Charnacé;château de Bellet 440, chemin de Saquier;6200;Nice;France;06088;06;93.0;16367;7.271454888463083;43.695978064591124
Jean Spizzo (Collet de Bovis);Le Fogolar 370, chem. de Crémat;6200;Nice;France;06088;06;93.0;16363;7.271454888463083;43.695978064591124
Max Gilli;Les Séoules chemin de Saint-Roman;6200;Nice;France;06088;06;93.0;34944;7.271454888463083;43.695978064591124
René Blanc-Gonnet;30, chemin de la Pouncia;6200;Nice;France;06088;06;93.0;34943;7.271454888463083;43.695978064591124
Rose Augier;680, rte de Bellet;6200;Nice;France;06088;06;93.0;16365;7.271454888463083;43.695978064591124
Sas château de Bellet;482, chem. de Saquier;6200;Nice;France;06088;06;93.0;20914;7.271454888463083;43.695978064591124
Scea Clot Dóu Baile;277-305, chemin de Saquier;6200;Nice;France;06088;06;93.0;34021;7.271454888463083;43.695978064591124
Scea domaine de Toasc;213, chem. de Crémat;6200;Nice;France;06088;06;93.0;46624;7.271454888463083;43.695978064591124
Scea domaine de Vinceline;305, chemin de Saquier;6200;Nice;France;06088;06;93.0;83832;7.271454888463083;43.695978064591124
Scea domaine du château de Crémat;442, chem. de Crémat;6200;Nice;France;06088;06;93.0;16366;7.271454888463083;43.695978064591124
Scea les Coteaux de Bellet;325, chemin de Saquier;6200;Nice;France;06088;06;93.0;16364;7.271454888463083;43.695978064591124
Sergi;Collet des Fourniers Saint-Roman-de-Bellet;6200;Nice;France;06088;06;93.0;16593;7.271454888463083;43.695978064591124
Sarl Lérina;Île Saint-Honorat CS_10040;6414;Cannes;France;06029;06;93.0;21334;7.012553134104128;43.55138214789633
Vincent Dauby;30, rue du Château;6440;L'Escarène;France;06057;06;93.0;51286;7.355708762724236;43.83389335594912
Georges et denis Rasse;domaine des Htes Collines de la Côte d'Azur 800, rte des Sausses;6640;Saint-Jeannet;France;06122;06;93.0;17209;7.1430036328775;43.74749628566218
Clos Saint-Joseph;168, rte du Savel;6710;Villars-sur-Var;France;06158;06;93.0;5035;7.09744879669441;43.93675475106852
Denis Manent;domaine de Combelonge;7110;Vinezac;France;07343;07;84.0;12921;4.324701593587617;44.53977761524141
Domaine du Père Léon;70, imp. de Chambon;7110;Vinezac;France;07343;07;84.0;23219;4.324701593587617;44.53977761524141
Louis de Moerloose;1357, rte d'Ales Lieu-dit Les Côtes;7110;Vinezac;France;07343;07;84.0;35692;4.324701593587617;44.53977761524141
Cave coop. des vignerons de Ruoms;rte de Pradons;7120;Ruoms;France;07201;07;84.0;50845;4.341643691772583;44.45251334679916
Earl château de la Selve;Ch. de la Selve;7120;Grospierres;France;07101;07;84.0;49537;4.290306664463188;44.399408525137204
Jérôme Poudevigne;domaine des Louanes;7120;Balazuc;France;07023;07;84.0;47538;4.372785784752891;44.50910908617045
Mazel;70, chem. de la Coustace;7120;Pradons;France;07183;07;84.0;51342;4.357937839891082;44.47414783113602
Olivier de Bournet;domaine de Bournet;7120;Grospierres;France;07101;07;84.0;16403;4.290306664463188;44.399408525137204
Sarl les Terriers;55, chem. des Terriers;7120;Ruoms;France;07201;07;84.0;22259;4.341643691772583;44.45251334679916
Usca union des vignerons des Coteaux de l'Ardèche;107, av. de Vallon;7120;Ruoms;France;07201;07;84.0;84717;4.341643691772583;44.45251334679916
Vignerons Sud Ardèche;rte de Pradons;7120;Ruoms;France;07201;07;84.0;19299;4.341643691772583;44.45251334679916
Vignerons ardéchois;107, av. de Vallon;7120;Ruoms;France;07201;07;84.0;35696;4.341643691772583;44.45251334679916
Domaine Chaboud;21, rue Ferdinand-Malet;7130;Saint-Péray;France;07281;07;84.0;33964;4.840599223118233;44.94450236163059
Domaine Darona Père et Fils;Les Faures;7130;Saint-Péray;France;07281;07;84.0;2286;4.840599223118233;44.94450236163059
Domaine j. Despesse;10, Basses-Rues;7130;Cornas;France;07070;07;84.0;35676;4.847462134025917;44.96373810889801
Domaine johann Michel;115, chem. de Ploye;7130;Saint-Péray;France;07281;07;84.0;14355;4.840599223118233;44.94450236163059
Earl Lemenicier;chem. des Peyrouses;7130;Cornas;France;07070;07;84.0;17726;4.847462134025917;44.96373810889801
Earl domaine Courbis;6, rte de Saint-Romain;7130;Châteaubourg;France;07059;07;84.0;33963;4.844288341326294;44.99693703410964
Earl du Biguet (Cave Thiers);725, rte de Biguet;7130;Toulaud;France;07323;07;84.0;2292;4.8195469863936;44.89710309557792
Earl stéphane Robert (Dom. du Tunnel);20, rue de la République;7130;Saint-Péray;France;07281;07;84.0;25068;4.840599223118233;44.94450236163059
Gaec du Lautaret (Éric et Joël Durand);2, imp. de la Fontaine;7130;Châteaubourg;France;07059;07;84.0;16056;4.844288341326294;44.99693703410964
Jean Lionnet;48, rue de Pied-la-Vigne;7130;Cornas;France;07070;07;84.0;15187;4.847462134025917;44.96373810889801
Nicolas Serrette;21, chem. de Clarenson;7130;Cornas;France;07070;07;84.0;13798;4.847462134025917;44.96373810889801
Rémy Nodin;1, av. du 8-Mai-1945;7130;Saint-Péray;France;07281;07;84.0;84466;4.840599223118233;44.94450236163059
Sarl alain Voge;4, imp. de l'Équerre;7130;Cornas;France;07070;07;84.0;50065;4.847462134025917;44.96373810889801
Scea Clape;146, av. Colonel-Rousset;7130;Cornas;France;07070;07;84.0;5529;4.847462134025917;44.96373810889801
Sylvain Bernard;domaine de Fauterie;7130;Saint-Péray;France;07281;07;84.0;13797;4.840599223118233;44.94450236163059
Vincent Paris;chemin des Peyrouses;7130;Cornas;France;07070;07;84.0;48115;4.847462134025917;44.96373810889801
Vins jean-luc Colombo;10-12, rue des Violettes;7130;Cornas;France;07070;07;84.0;13813;4.847462134025917;44.96373810889801
Cave coopérative d' Orgnac-l'Aven;;7150;Orgnac-l'Aven;France;07168;07;84.0;17561;4.432982157553596;44.30594755407758
Domaine Vigne;vallée de l'Ibie;7150;Lagorce;France;07126;07;84.0;35773;4.417607536521525;44.447039254606516
Earl Auriol et Fils;Dom. la Clapouze;7150;Vallon-Pont-d'Arc;France;07330;07;84.0;84733;4.39544054194295;44.40740340644765
Ludovic Walbaum;domaine du Colombier;7150;Vallon-Pont-d'Arc;France;07330;07;84.0;5397;4.39544054194295;44.40740340644765
Sas Dupré Vins d'Ardèche;Zone Artisanale Les Estrades;7150;Vallon-Pont-d'Arc;France;07330;07;84.0;22778;4.39544054194295;44.40740340644765
Sas Dupré et Fils;175, chem. de Vigier;7150;Lagorce;France;07126;07;84.0;5391;4.417607536521525;44.447039254606516
Serge Coste;hameau de Massargues;7150;Orgnac-l'Aven;France;07168;07;84.0;48679;4.432982157553596;44.30594755407758
Domaine Olivier de Serres;Ferme du Pradel;7170;Mirabel;France;07159;07;84.0;67344;4.498824909601605;44.60718452340761
Domaine les Clapas;Le petit Tournon;7170;Villeneuve-de-Berg;France;07341;07;84.0;50271;4.501039864678527;44.55675947545125
Sca les vignerons de Montfleury;quartier Gare;7170;Mirabel;France;07159;07;84.0;12920;4.498824909601605;44.60718452340761
Alexandre Mirabel;La Croix de Raspail;7200;La-Chapelle-sous-Aubenas;France;07122;07;84.0;84734;4.363423734163167;44.563919566945025
Cave coop. Vogüé;;7200;Vogüé;France;07348;07;84.0;13892;4.413435348003858;44.551017729246006
Cave coopérative de Vogüe;quartier de la Gare;7200;Vogüe;France;07348;07;84.0;50831;4.413435348003858;44.551017729246006
Claude Gascon;Sauveplantade;7200;Rochecolombe;France;07190;07;84.0;48242;4.433239011552903;44.51767088835802
Sca les vignerons des Coteaux d'Aubenas;240, rte de la Cave-Coopérative;7200;Saint-Étienne-de-Fontbellon;France;07231;07;84.0;49536;4.383147676191943;44.599587033995306
Earl Pradal Père et Fils;Le Petit Champagne Les Tuilières;7220;Saint-Montan;France;07279;07;84.0;50325;4.627122374605846;44.43791006672514
Gallety;La Montagne;7220;Saint-Montan;France;07279;07;84.0;34840;4.627122374605846;44.43791006672514
